rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago,capture_date
336,BB,BlackBerry,1,4,61,5,2023-07-23 16:58:54.996227
337,NGL,NGL Energy Partners,1,1,374,1,2023-07-23 16:58:54.996227
338,CIA,Citizens Inc,1,18,375,1,2023-07-23 16:58:54.996227
339,PFLT,PennantPark Floating Rate,1,1,376,1,2023-07-23 16:58:54.996227
340,LJIM,The Long Cramer ETF,1,1,433,,2023-07-23 16:58:54.996227
341,WFC,Wells Fargo,1,1,377,,2023-07-23 16:58:54.996227
342,CTS,CTS Corporation,1,1,378,1,2023-07-23 16:58:54.996227
343,NEE,Nextera Energy,1,1,0,,2023-07-23 16:58:54.996227
344,STX,Seagate Technology,1,1,379,1,2023-07-23 16:58:54.996227
345,SLDP,Solid Power,1,1,0,,2023-07-23 16:58:54.996227
346,HACK,ETF Managers Group LLC - ETFMG Prime Cyber Security ETF,1,2,0,,2023-07-23 16:58:54.996227
347,DO,Diamond Offshore Drilling,1,2,47,5,2023-07-23 16:58:54.996227
348,DIVO,Amplify ETF Trust - Amplify CPW Enhanced Dividend Income ETF,1,1,380,1,2023-07-23 16:58:54.996227
349,SAGE,Sage Therapeutics,1,20,381,1,2023-07-23 16:58:54.996227
350,GILD,Gilead Sciences,1,0,79,1,2023-07-23 16:58:54.996227
351,MET,MetLife,1,1,0,,2023-07-23 16:58:54.996227
352,ANY,Sphere 3D,1,0,125,2,2023-07-23 16:58:54.996227
353,CEI,Camber Energy,1,1,382,1,2023-07-23 16:58:54.996227
354,HI,Hillenbrand,1,3,383,1,2023-07-23 16:58:54.996227
355,CIBR,First Trust Exchange-Traded Fund III - First Trust NASDAQ Cybersecurit,1,2,0,,2023-07-23 16:58:54.996227
356,AXP,American Express,1,1,384,1,2023-07-23 16:58:54.996227
357,VCIT,"Vanguard Group, Inc. - Vanguard Intermediate-Term Corporate Bond ETF",1,1,385,1,2023-07-23 16:58:54.996227
358,STEM,stem,1,4,386,1,2023-07-23 16:58:54.996227
359,SNOW,Snowflake,1,-9,387,1,2023-07-23 16:58:54.996227
360,RIG,Transocean,1,1,387,1,2023-07-23 16:58:54.996227
361,VERY,Vericity,1,1,388,1,2023-07-23 16:58:54.996227
362,CMP,Compass Minerals,1,1,389,1,2023-07-23 16:58:54.996227
363,SQM,Sociedad Química y Minera,1,20,390,1,2023-07-23 16:58:54.996227
364,UPRO,ProShares Trust - ProShares UltraPro S&P 500 ETF,1,1,392,1,2023-07-23 16:58:54.996227
365,FAT,FAT Brands,1,2,394,1,2023-07-23 16:58:54.996227
366,BIL,SPDR Series Trust - SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,1,3,89,3,2023-07-23 16:58:54.996227
367,III,Information Services Group,1,1,126,2,2023-07-23 16:58:54.996227
368,VPN,Global X Funds - Global X Data Center REITs & Digital Infrastructure E,1,1,396,,2023-07-23 16:58:54.996227
369,SD,SandRidge Energy,1,12,399,1,2023-07-23 16:58:54.996227
370,SPXS,Direxion Shares ETF Trust - Direxion Daily S&P 500 Bear 3X Shares,1,1,400,1,2023-07-23 16:58:54.996227
371,WBA,Walgreens Boots Alliance,1,4,0,,2023-07-23 16:58:54.996227
372,KC,Kingsoft Cloud,1,1,405,1,2023-07-23 16:58:54.996227
373,DK,Delek US,1,2,408,1,2023-07-23 16:58:54.996227
374,IRS,IRSA Inversiones y Representaciones,1,6,40,7,2023-07-23 16:58:54.996227
375,CBOE,Cboe,1,3,753,,2023-07-23 16:58:54.996227
376,S,SentinelOne,1,1,0,,2023-07-23 16:58:54.996227
377,WU,Western Union,1,1,411,1,2023-07-23 16:58:54.996227
378,PHYS,Sprott Physical Gold Trust,1,-2,91,3,2023-07-23 16:58:54.996227
379,DEA,Easterly Government Properties,1,6,412,1,2023-07-23 16:58:54.996227
380,CFG,Citizens Financial Group,1,1,128,2,2023-07-23 16:58:54.996227
381,RGTI,Rigetti Computing,1,3,415,1,2023-07-23 16:58:54.996227
382,CP,Canadian Pacific Railway,1,2,416,,2023-07-23 16:58:54.996227
383,MVIS,Microvision,1,2,418,1,2023-07-23 16:58:54.996227
384,YELL,Yellow Corporation,1,3,419,1,2023-07-23 16:58:54.996227
385,TALK,Talkspace,1,4,421,1,2023-07-23 16:58:54.996227
386,CLF,Cleveland-Cliffs,1,3,423,1,2023-07-23 16:58:54.996227
387,PSLV,Sprott Physical Silver Trust,1,-2,93,3,2023-07-23 16:58:54.996227
388,THO,Thor Industries,1,1,465,,2023-07-23 16:58:54.996227
389,OPRA,Opera,1,3,431,,2023-07-23 16:58:54.996227
390,DHS,WisdomTree Trust - WisdomTree U.S. High Dividend Fund,1,6,424,1,2023-07-23 16:58:54.996227
391,RC,Ready Capital,1,17,425,,2023-07-23 16:58:54.996227
392,MX,Magnachip,1,1,426,1,2023-07-23 16:58:54.996227
393,OG,Onion Global,1,3,129,2,2023-07-23 16:58:54.996227
394,ATOS,Atossa Therapeutics,1,2,428,1,2023-07-23 16:58:54.996227
395,DON,WisdomTree Trust - WisdomTree U.S. MidCap Dividend Fund,1,2,429,2,2023-07-23 16:58:54.996227
396,PINS,Pinterest,1,0,430,1,2023-07-23 16:58:54.996227
397,ET,Energy Transfer Partners,1,2,41,7,2023-07-23 16:58:54.996227
398,MDB,MongoDB,1,11,404,,2023-07-23 16:58:54.996227
399,DARE,Dare Bioscience,1,6,434,1,2023-07-23 16:58:54.996227
400,TDG,TransDigm,1,0,436,1,2023-07-23 16:58:54.996227
401,RUN,Sunrun,1,1,437,1,2023-07-23 16:58:54.996227
402,GSJY,Goldman Sachs ETF Trust - Goldman Sachs ActiveBeta Japan Equity ET,1,5,438,1,2023-07-23 16:58:54.996227
403,DEI,Douglas Emmett,1,3,0,,2023-07-23 16:58:54.996227
404,OCFC,OceanFirst Financial,1,1,439,1,2023-07-23 16:58:54.996227
405,ALLO,Allogene Therapeutics,1,3,441,1,2023-07-23 16:58:54.996227
406,ARKF,ARK ETF Trust - ARK Fintech Innovation ETF,1,2,442,1,2023-07-23 16:58:54.996227
407,BYND,Beyond Meat,1,3,443,1,2023-07-23 16:58:54.996227
408,DFJ,WisdomTree Trust - WisdomTree Japan SmallCap Dividend Fund,1,5,444,1,2023-07-23 16:58:54.996227
409,MSCI,MSCI,1,1,445,1,2023-07-23 16:58:54.996227
410,OXY,Occidental Petroleum,1,1,446,1,2023-07-23 16:58:54.996227
411,CB,Chubb,1,3,447,1,2023-07-23 16:58:54.996227
412,GETY,Getty Images,1,3,450,1,2023-07-23 16:58:54.996227
413,AKA,a.k.a. Brands,1,4,451,1,2023-07-23 16:58:54.996227
414,HAS,Hasbro,1,1,452,1,2023-07-23 16:58:54.996227
415,OTIS,Otis Worldwide,1,2,453,1,2023-07-23 16:58:54.996227
416,FDRR,Fidelity Covington Trust - Fidelity Dividend ETF for Rising Rates,1,1,458,1,2023-07-23 16:58:54.996227
417,FITB,Fifth Third Bank,1,1,460,1,2023-07-23 16:58:54.996227
418,APLS,Apellis Pharmaceuticals,1,1,462,1,2023-07-23 16:58:54.996227
419,ZM,Zoom,1,21,463,1,2023-07-23 16:58:54.996227
420,ETSY,Etsy,1,1,466,1,2023-07-23 16:58:54.996227
421,SONY,Sony,1,3,467,1,2023-07-23 16:58:54.996227
422,BRO,Brown &amp; Brown,1,-1,468,2,2023-07-23 16:58:54.996227
423,GL,Globe Life,1,-1,471,1,2023-07-23 16:58:54.996227
424,PL,Planet Labs,1,12,472,1,2023-07-23 16:58:54.996227
425,SIM,Grupo Simec,1,2,0,,2023-07-23 16:58:54.996227
426,UVXY,ProShares Trust - ProShares Ultra VIX Short-Term Futures ETF,1,1,473,1,2023-07-23 16:58:54.996227
427,LNG,Cheniere Energy,1,2,474,2,2023-07-23 16:58:54.996227
428,SAP,SAP,1,1,476,1,2023-07-23 16:58:54.996227
429,NYT,New York Times,1,1,477,1,2023-07-23 16:58:54.996227
430,DAR,Darling Ingredients,1,3,478,1,2023-07-23 16:58:54.996227
431,VDE,"Vanguard Group, Inc. - Vanguard Energy ETF",1,3,0,,2023-07-23 16:58:54.996227
432,ULTA,ULTA Beauty,1,2,480,1,2023-07-23 16:58:54.996227
433,IBKR,Interactive Brokers,1,1,481,1,2023-07-23 16:58:54.996227
434,ZG,Zillow,1,1,0,,2023-07-23 16:58:54.996227
435,VAL,Valaris,1,1,0,,2023-07-23 16:58:54.996227
436,AGM,Federal Agricultural Mortgage,1,2,483,1,2023-07-23 16:58:54.996227
437,FID,First Trust Exchange-Traded Fund VI - First Trust S&P International Di,1,2,0,,2023-07-23 16:58:54.996227
438,CNK,Cinemark Theatres,1,2,487,1,2023-07-23 16:58:54.996227
439,VIXY,ProShares Trust - ProShares VIX Short-Term Futures ETF,1,2,0,,2023-07-23 16:58:54.996227
440,SPSM,SSgA Active Trust - SPDR Portfolio S&P 600 Small Cap ETF,1,3,0,,2023-07-23 16:58:54.996227
441,SMH,VanEck Vectors ETF Trust - VanEck Vectors Semiconductor ETF,1,3,488,1,2023-07-23 16:58:54.996227
442,ZION,Zions Bancorporation,1,1,489,1,2023-07-23 16:58:54.996227
443,AAL,American Airlines,1,3,490,1,2023-07-23 16:58:54.996227
444,PST,Invesco Capital Management LLC - PowerShares UltraShort Lehman 7-10 +,1,1,669,,2023-07-23 16:58:54.996227
445,VMI,Valmont Industries,1,2,491,1,2023-07-23 16:58:54.996227
446,HR,Healthcare Realty,1,6,492,,2023-07-23 16:58:54.996227
447,FRC,First Republic Bank,1,3,493,1,2023-07-23 16:58:54.996227
448,TZA,Direxion Shares ETF Trust - Direxion Daily Small Cap Bear 3X Shares,1,3,494,1,2023-07-23 16:58:54.996227
449,AVPT,AvePoint,1,0,496,1,2023-07-23 16:58:54.996227
450,PLAY,Dave & Buster's,1,10,497,1,2023-07-23 16:58:54.996227
451,JBLU,Jetblue Airways,1,1,498,1,2023-07-23 16:58:54.996227
452,TECH,Bio-Techne,1,3,499,1,2023-07-23 16:58:54.996227
453,MGK,"Vanguard Group, Inc. - Vanguard Mega Cap Growth ETF",1,5,0,,2023-07-23 16:58:54.996227
454,FFIE,Faraday Future,1,3,500,1,2023-07-23 16:58:54.996227
455,CS,Credit Suisse,1,7,501,,2023-07-23 16:58:54.996227
456,TTM,Tata Motors,1,1,504,1,2023-07-23 16:58:54.996227
457,REGN,Regeneron Pharmaceuticals,1,3,505,1,2023-07-23 16:58:54.996227
458,MARA,Marathon Digital Holdings,1,3,80,1,2023-07-23 16:58:54.996227
459,XYLD,Global X Funds - Global X S&P 500 Covered Call ETF,1,5,508,1,2023-07-23 16:58:54.996227
460,BNGO,Bionano Genomics,1,1,510,1,2023-07-23 16:58:54.996227
461,ARCC,Ares Capital,1,3,512,1,2023-07-23 16:58:54.996227
462,HCP,HashiCorp,1,2,516,1,2023-07-23 16:58:54.996227
463,CSX,CSX Corporation,1,1,517,1,2023-07-23 16:58:54.996227
464,SENS,Senseonics Holdings,1,3,518,1,2023-07-23 16:58:54.996227
465,LABU,Direxion Shares ETF Trust - Direxion Daily S&P Biotech Bull 3X Shares,1,1,0,,2023-07-23 16:58:54.996227
466,TWLO,Twilio,1,14,522,1,2023-07-23 16:58:54.996227
467,NC,NACCO Industries,1,2,523,1,2023-07-23 16:58:54.996227
468,MGOL,MGO Global,1,3,520,1,2023-07-23 16:58:54.996227
469,MOM,AGF Investments Trust - AGFiQ U.S. Market Neutral Momentum Fund,1,9,525,,2023-07-23 16:58:54.996227
470,FF,FutureFuel,1,3,528,1,2023-07-23 16:58:54.996227
471,SMCI,Supermicro,1,2,529,1,2023-07-23 16:58:54.996227
472,ARBK,Argo Blockchain,1,1,530,1,2023-07-23 16:58:54.996227
473,PBD,Invesco Capital Management LLC - Invesco Global Clean Energy ETF,1,-1,531,1,2023-07-23 16:58:54.996227
474,AN,AutoNation,1,49,533,1,2023-07-23 16:58:54.996227
475,WWW,Wolverine World Wide,1,1,534,1,2023-07-23 16:58:54.996227
476,EC,Ecopetrol,1,1,483,,2023-07-23 16:58:54.996227
477,GS,Goldman Sachs,1,1,535,1,2023-07-23 16:58:54.996227
478,PSA,Public Storage,1,3,536,1,2023-07-23 16:58:54.996227
479,BMI,Badger Meter,1,4,540,1,2023-07-23 16:58:54.996227
480,MAN,ManpowerGroup,1,36,541,1,2023-07-23 16:58:54.996227
481,SACH,Sachem Capital,1,1,0,,2023-07-23 16:58:54.996227
482,OI,O-I Glass,1,1,542,1,2023-07-23 16:58:54.996227
483,LE,Lands' End,1,8,543,1,2023-07-23 16:58:54.996227
484,CDL,Victory Portfolios II - VictoryShares US Large Cap High Div Volatility,1,1,545,,2023-07-23 16:58:54.996227
485,RKLB,Rocket Lab USA,1,3,57,3,2023-07-23 16:58:54.996227
486,RSP,Invesco Capital Management LLC - Invesco S&P 500 Equal Weight ETF,1,5,547,1,2023-07-23 16:58:54.996227
487,GBDC,Golub Capital,1,-1,548,1,2023-07-23 16:58:54.996227
488,MTB,M&T Bank,1,1,549,1,2023-07-23 16:58:54.996227
489,PHO,Invesco Capital Management LLC - Invesco Water Resources ETF,1,3,550,1,2023-07-23 16:58:54.996227
490,SOXS,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bear 3X Share,1,1,552,1,2023-07-23 16:58:54.996227
491,HIVE,HIVE Blockchain Technologies,1,2,0,,2023-07-23 16:58:54.996227
492,LMT,Lockheed Martin,1,4,131,2,2023-07-23 16:58:54.996227
493,FA,First Advantage,1,2,30,8,2023-07-23 16:58:54.996227
494,PTON,Peloton,1,1,556,1,2023-07-23 16:58:54.996227
495,CFA,Victory Portfolios II - VictoryShares US 500 Volatility Wtd ETF,1,55,559,1,2023-07-23 16:58:54.996227
496,PG,Procter & Gamble,1,2,560,1,2023-07-23 16:58:54.996227
497,TIP,BlackRock Institutional Trust Company N.A. - BTC iShares TIPS Bond ETF,1,6,561,1,2023-07-23 16:58:54.996227
498,LMND,Lemonade,1,1,562,1,2023-07-23 16:58:54.996227
499,STWD,Starwood Property Trust,1,217,563,1,2023-07-23 16:58:54.996227
500,FAMI,Farmmi,1,3,564,1,2023-07-23 16:58:54.996227
501,SON,Sonoco,1,4,565,1,2023-07-23 16:58:54.996227
502,LCID,Lucid Motors,1,2,566,1,2023-07-23 16:58:54.996227
503,AG,First Majestic Silver,1,4,567,1,2023-07-23 16:58:54.996227
504,MAR,Marriott International,1,1,568,1,2023-07-23 16:58:54.996227
505,MVST,Microvast,1,1,571,1,2023-07-23 16:58:54.996227
506,KRE,SPDR Series Trust - SPDR S&P Regional Banking ETF,1,2,572,1,2023-07-23 16:58:54.996227
507,UP,Wheels Up,1,2,62,4,2023-07-23 16:58:54.996227
508,CRL,Charles River Laboratories,1,1,574,1,2023-07-23 16:58:54.996227
509,KR,Kroger,1,1,577,1,2023-07-23 16:58:54.996227
510,MFA,MFA Financial,1,7,580,1,2023-07-23 16:58:54.996227
511,SWBI,Smith &amp; Wesson,1,3,0,,2023-07-23 16:58:54.996227
512,RPG,Invesco Capital Management LLC - Invesco S&P 500 Pure Growth ETF,1,5,581,1,2023-07-23 16:58:54.996227
513,THRX,Theseus Pharmaceuticals,1,2,584,1,2023-07-23 16:58:54.996227
514,TAP,Molson Coors,1,2,585,1,2023-07-23 16:58:54.996227
515,TM,Toyota,1,4,133,3,2023-07-23 16:58:54.996227
516,PPL,PPL,1,1,587,1,2023-07-23 16:58:54.996227
517,PNC,PNC Financial Services,1,1,590,1,2023-07-23 16:58:54.996227
518,HUT,Hut 8 Mining,1,1,593,1,2023-07-23 16:58:54.996227
519,TRIP,TripAdvisor,1,3,594,1,2023-07-23 16:58:54.996227
520,PFE,Pfizer,1,6,595,1,2023-07-23 16:58:54.996227
521,TOP,TOP Financial Group Limited,1,1,596,1,2023-07-23 16:58:54.996227
522,PEP,Pepsico,1,1,600,1,2023-07-23 16:58:54.996227
523,UFO,Procure ETF Trust II - Procure Space ETF,1,1,601,1,2023-07-23 16:58:54.996227
524,LIT,Global X Funds - Global X Lithium & Battery Tech ETF,1,2,603,1,2023-07-23 16:58:54.996227
525,BA,Boeing,1,5,604,1,2023-07-23 16:58:54.996227
526,AUR,Aurora Innovation,1,1,605,1,2023-07-23 16:58:54.996227
527,XM,Qualtrics,1,3,134,1,2023-07-23 16:58:54.996227
528,CIO,City Office REIT,1,1,606,1,2023-07-23 16:58:54.996227
529,NKLA,Nikola,1,7,96,3,2023-07-23 16:58:54.996227
530,SGE,Strong Global Entertainment,1,-1,608,1,2023-07-23 16:58:54.996227
531,CCJ,Cameco,1,0,610,1,2023-07-23 16:58:54.996227
532,WEAT,Teucrium Wheat Fund,1,1,612,1,2023-07-23 16:58:54.996227
533,CRWD,CrowdStrike,1,2,613,1,2023-07-23 16:58:54.996227
534,WISH,ContextLogic (wish.com),1,-2,615,1,2023-07-23 16:58:54.996227
535,FOR,Forestar Group,1,5,616,2,2023-07-23 16:58:54.996227
536,ST,Sensata Technologies,1,2,617,1,2023-07-23 16:58:54.996227
537,DE,Deere & Company,1,1,621,1,2023-07-23 16:58:54.996227
538,ARKK,ARK Investment Management LLC - ARK Innovation ETF,1,3,622,1,2023-07-23 16:58:54.996227
539,MRO,Marathon Oil,1,1,0,,2023-07-23 16:58:54.996227
540,GEHC,GE HealthCare Technologies,1,3,620,1,2023-07-23 16:58:54.996227
541,VWE,Vintage Wine Estates,1,3,624,1,2023-07-23 16:58:54.996227
542,EOG,EOG Resources,1,1,0,,2023-07-23 16:58:54.996227
543,VNQ,"Vanguard Group, Inc. - Vanguard Real Estate Index Fund ETF",1,4,628,,2023-07-23 16:58:54.996227
544,CO,Global Cord Blood,1,6,630,1,2023-07-23 16:58:54.996227
545,OPEN,Opendoor,1,5,631,1,2023-07-23 16:58:54.996227
546,CVS,CVS Health,1,4,97,1,2023-07-23 16:58:54.996227
547,CMA,Comerica,1,1,637,1,2023-07-23 16:58:54.996227
548,FI,Frank's International,1,1,640,1,2023-07-23 16:58:54.996227
549,SQ,Square,1,4,642,1,2023-07-23 16:58:54.996227
550,PMT,PennyMac Mortgage Investment Trust,1,1,643,1,2023-07-23 16:58:54.996227
551,ENPH,Enphase Energy,1,2,644,1,2023-07-23 16:58:54.996227
552,CAN,Canaan,1,1,645,2,2023-07-23 16:58:54.996227
553,ADT,ADT,1,1,647,1,2023-07-23 16:58:54.996227
554,WOOF,Petco,1,8,648,1,2023-07-23 16:58:54.996227
555,FREE,Whole Earth Brands,1,5,649,1,2023-07-23 16:58:54.996227
556,AMP,Ameriprise Financial,1,1,650,1,2023-07-23 16:58:54.996227
557,VO,"Vanguard Group, Inc. - Vanguard Mid-Cap ETF",1,5,0,,2023-07-23 16:58:54.996227
558,HUM,Humana,1,1,817,,2023-07-23 16:58:54.996227
559,BY,Byline Bancorp,1,1,652,1,2023-07-23 16:58:54.996227
560,LRCX,Lam Research,1,1,653,1,2023-07-23 16:58:54.996227
561,LTHM,Livent,1,5,654,1,2023-07-23 16:58:54.996227
562,HON,Honeywell,1,9,656,1,2023-07-23 16:58:54.996227
563,COF,Capital One,1,1,658,2,2023-07-23 16:58:54.996227
564,IONQ,IonQ,1,2,659,1,2023-07-23 16:58:54.996227
565,GRND,Grindr,1,3,660,1,2023-07-23 16:58:54.996227
566,ARC,ARC Document Solutions,1,4,661,1,2023-07-23 16:58:54.996227
567,USFR,WisdomTree Trust - WisdomTree Floating Rate Treasury Fund,1,2,662,1,2023-07-23 16:58:54.996227
568,ROK,Rockwell Automation,1,9,663,1,2023-07-23 16:58:54.996227
569,PGR,Progressive,1,1,664,1,2023-07-23 16:58:54.996227
570,MRVL,Marvell Technology Group,1,1,666,1,2023-07-23 16:58:54.996227
571,BTU,Peabody Energy,1,1,667,1,2023-07-23 16:58:54.996227
572,DERM,Journey Medical,1,1,0,,2023-07-23 16:58:54.996227
573,PUMP,ProPetro,1,0,671,1,2023-07-23 16:58:54.996227
574,CCC,Clarivate,1,2,672,1,2023-07-23 16:58:54.996227
575,SHE,SPDR Series Trust - SPDR SSGA Gender Diversity Index ETF,1,3,673,1,2023-07-23 16:58:54.996227
576,PLUS,ePlus,1,4,674,1,2023-07-23 16:58:54.996227
577,IPG,Interpublic Group,1,1,675,1,2023-07-23 16:58:54.996227
578,NSA,National Storage,1,1,676,1,2023-07-23 16:58:54.996227
579,LOW,Lowe's Companies,1,1,677,1,2023-07-23 16:58:54.996227
580,SHV,BlackRock Institutional Trust Company N.A. - BTC iShares Short Treasur,1,1,135,2,2023-07-23 16:58:54.996227
581,SCM,Stellus Capital,1,6,680,1,2023-07-23 16:58:54.996227
582,DSS,Document Security Systems,1,1,0,,2023-07-23 16:58:54.996227
583,CHWY,Chewy,1,14,681,1,2023-07-23 16:58:54.996227
584,FUBO,fuboTV,1,1,682,1,2023-07-23 16:58:54.996227
585,EFA,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI EAFE ETF,1,1,680,1,2023-07-23 16:58:54.996227
586,ARGX,Argenx,1,1,683,1,2023-07-23 16:58:54.996227
587,FL,Foot Locker,1,6,684,1,2023-07-23 16:58:54.996227
588,INMD,InMode,1,5,687,1,2023-07-23 16:58:54.996227
589,FBIO,Fortress Biotech,1,1,0,,2023-07-23 16:58:54.996227
590,IEMG,BlackRock Institutional Trust Company N.A. - BTC iShares Core MSCI Eme,1,1,688,1,2023-07-23 16:58:54.996227
591,TTD,The Trade Desk,1,1,82,5,2023-07-23 16:58:54.996227
592,CUZ,Cousins Properties,1,1,0,,2023-07-23 16:58:54.996227
593,AIMC,Altra Industrial Motion,1,4,691,1,2023-07-23 16:58:54.996227
594,IBTE,iShares Trust - iShares iBonds Dec 2024 Term Treasury ETF,1,1,0,,2023-07-23 16:58:54.996227
595,DIA,SSgA Active Trust - SPDR Dow Jones Industrial Average ETF,1,2,693,1,2023-07-23 16:58:54.996227
596,KHC,Kraft Heinz,1,1,694,1,2023-07-23 16:58:54.996227
597,SOXX,BlackRock Institutional Trust Company N.A. - BTC iShares PHLX Semicond,1,1,695,1,2023-07-23 16:58:54.996227
598,GIC,Global Industrial Company,1,1,696,1,2023-07-23 16:58:54.996227
599,TG,Tredegar,1,1,698,,2023-07-23 16:58:54.996227
600,WANT,Direxion Shares ETF Trust - Direxion Daily Consumer Discretionary Bull,1,1,699,1,2023-07-23 16:58:54.996227
601,AVGO,Broadcom,1,-21,700,1,2023-07-23 16:58:54.996227
602,TLRY,Tilray,1,2,701,1,2023-07-23 16:58:54.996227
603,IBTF,iShares Trust - iShares iBonds Dec 2025 Term Treasury ETF,1,1,0,,2023-07-23 16:58:54.996227
604,CAVA,CAVA Group,1,1,702,1,2023-07-23 16:58:54.996227
605,TMF,Direxion Shares ETF Trust - Direxion Daily 20+ Year Treasury Bull 3X S,1,3,703,,2023-07-23 16:58:54.996227
606,SPCE,Virgin Galactic,1,10,704,1,2023-07-23 16:58:54.996227
607,API,Agora.io,1,1,705,1,2023-07-23 16:58:54.996227
608,WELL,Welltower,1,11,706,1,2023-07-23 16:58:54.996227
609,UFPI,Universal Forest Products,1,3,707,1,2023-07-23 16:58:54.996227
610,SUP,Superior Industries International,1,3,708,1,2023-07-23 16:58:54.996227
611,UBER,Uber,1,1,136,1,2023-07-23 16:58:54.996227
612,SATS,EchoStar,1,4,712,1,2023-07-23 16:58:54.996227
613,BBIO,BridgeBio Pharma,1,1,709,1,2023-07-23 16:58:54.996227
614,SOL,ReneSola,1,18,710,1,2023-07-23 16:58:54.996227
615,IBTD,iShares Trust - iShares iBonds Dec 2023 Term Treasury ETF,1,1,0,,2023-07-23 16:58:54.996227
616,TSP,TuSimple,1,-1,712,1,2023-07-23 16:58:54.996227
617,TH,Target Hospitality,1,-1,713,1,2023-07-23 16:58:54.996227
618,NU,Nu Holdings,1,1,714,1,2023-07-23 16:58:54.996227
619,APPS,Digital Turbine,1,3,716,1,2023-07-23 16:58:54.996227
620,IR,Ingersoll Rand,1,46,717,1,2023-07-23 16:58:54.996227
621,IWM,BlackRock Institutional Trust Company N.A. - BTC iShares Russell 2000,1,12,137,1,2023-07-23 16:58:54.996227
622,PET,Wag! Group,1,4,719,1,2023-07-23 16:58:54.996227
623,AUD,Audacy,1,0,721,,2023-07-23 16:58:54.996227
624,SA,Seabridge Gold,1,2,723,1,2023-07-23 16:58:54.996227
625,OLPX,Olaplex,1,3,724,,2023-07-23 16:58:54.996227
626,TOL,Toll Brothers,1,1,725,1,2023-07-23 16:58:54.996227
627,DPZ,Domino's Pizza,1,2,138,2,2023-07-23 16:58:54.996227
628,SSTK,Shutterstock,1,2,726,1,2023-07-23 16:58:54.996227
629,ASTS,AST SpaceMobile,1,10,727,1,2023-07-23 16:58:54.996227
630,MSTR,MicroStrategy,1,1,728,1,2023-07-23 16:58:54.996227
631,WBS,Webster Financial,1,1,730,1,2023-07-23 16:58:54.996227
632,USRT,BlackRock Institutional Trust Company N.A. - BTC iShares Core U.S. REI,1,1,732,1,2023-07-23 16:58:54.996227
633,CROX,Crocs,1,1,99,2,2023-07-23 16:58:54.996227
634,GSK,GlaxoSmithKline,1,1,733,1,2023-07-23 16:58:54.996227
635,AAP,Advance Auto Parts,1,1,735,1,2023-07-23 16:58:54.996227
636,HLX,Helix Energy Solutions,1,2,0,,2023-07-23 16:58:54.996227
637,WK,Workiva,1,4,736,1,2023-07-23 16:58:54.996227
638,JEPI,J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Equity Premium Incom,1,1,43,8,2023-07-23 16:58:54.996227
639,CASH,Meta Financial Group,1,4,737,1,2023-07-23 16:58:54.996227
640,LNT,Alliant Energy,1,3,738,1,2023-07-23 16:58:54.996227
641,CVT,Cvent,1,1,739,1,2023-07-23 16:58:54.996227
642,MPW,Medical Properties Trust,1,0,738,1,2023-07-23 16:58:54.996227
643,CHDN,Churchill Downs,1,1,742,1,2023-07-23 16:58:54.996227
644,WTTR,Select Energy Services,1,3,0,,2023-07-23 16:58:54.996227
645,XP,XP Inc.,1,1,743,1,2023-07-23 16:58:54.996227
646,KOLD,ProShares Trust - ProShares UltraShort Bloomberg Natural Gas,1,1,744,,2023-07-23 16:58:54.996227
647,AZ,A2Z Smart Technologies,1,1,745,2,2023-07-23 16:58:54.996227
648,NVEI,Nuvei,1,5,746,1,2023-07-23 16:58:54.996227
649,DD,Dupont De Nemours,1,2,0,,2023-07-23 16:58:54.996227
650,EPD,Enterprise Products,1,1,747,1,2023-07-23 16:58:54.996227
651,IESC,IES Holdings,1,2,748,1,2023-07-23 16:58:54.996227
652,GOAT,VanEck Vectors ETF Trust - VanEck Vectors Morningstar Global Wide Moat,1,2,749,1,2023-07-23 16:58:54.996227
653,BTI,British American Tobacco,1,1,751,1,2023-07-23 16:58:54.996227
654,CAAS,China Automotive Systems,1,1,140,2,2023-07-23 16:58:54.996227
655,COIN,Coinbase,1,-1,754,1,2023-07-23 16:58:54.996227
656,DG,Dollar General,1,1,141,1,2023-07-23 16:58:54.996227
657,CRSP,CRISPR Therapeutics,1,5,755,1,2023-07-23 16:58:54.996227
658,HIFS,Hingham Institution for Savings,1,2,756,1,2023-07-23 16:58:54.996227
659,PLUG,Plug Power,1,3,757,1,2023-07-23 16:58:54.996227
660,BKR,Baker Hughes,1,2,0,,2023-07-23 16:58:54.996227
661,MEDP,Medpace,1,1,758,1,2023-07-23 16:58:54.996227
662,LL,Lumber Liquidators,1,3,760,1,2023-07-23 16:58:54.996227
663,SAVA,Cassava Sciences,1,1,761,1,2023-07-23 16:58:54.996227
664,MKC,McCormick & Company,1,4,762,1,2023-07-23 16:58:54.996227
665,DGRO,BlackRock Institutional Trust Company N.A. - BTC iShares Core Dividend,1,3,0,,2023-07-23 16:58:54.996227
666,BOH,Bank of Hawaii,1,1,763,1,2023-07-23 16:58:54.996227
